,Shot_num,Z_gate_cond_bit,Z_bit_basis,X_bit_basis,Sdg_gate_applied,H_gate_applied,Measure_basis,Outcome
0,1,0,1,1,1,1,Y,0
1,2,1,0,1,0,1,X,1
2,3,1,0,0,0,0,Z,1
3,4,0,0,0,0,0,Z,0
4,5,1,0,1,0,1,X,1
5,6,0,1,0,0,0,Z,0
6,7,0,1,0,0,0,Z,1
7,8,0,1,0,0,0,Z,1
8,9,0,0,0,0,0,Z,1
9,10,1,0,0,0,0,Z,1
10,11,0,1,1,1,1,Y,1
11,12,0,0,0,0,0,Z,1
12,13,1,1,1,1,1,Y,0
13,14,1,1,1,1,1,Y,1
14,15,1,0,1,0,1,X,1
15,16,0,1,1,1,1,Y,0
16,17,0,0,0,0,0,Z,1
17,18,0,0,1,0,1,X,0
18,19,1,0,0,0,0,Z,0
19,20,1,0,0,0,0,Z,1
20,21,1,0,0,0,0,Z,1
21,22,1,1,0,0,0,Z,0
22,23,0,1,1,1,1,Y,1
23,24,1,0,0,0,0,Z,1
24,25,1,0,0,0,0,Z,0
25,26,1,0,1,0,1,X,1
26,27,1,1,0,0,0,Z,1
27,28,0,1,1,1,1,Y,1
28,29,0,1,1,1,1,Y,1
29,30,0,1,0,0,0,Z,1
30,31,0,1,0,0,0,Z,1
31,32,0,0,1,0,1,X,0
32,33,0,0,0,0,0,Z,0
33,34,0,0,1,0,1,X,0
34,35,0,1,1,1,1,Y,0
35,36,1,0,0,0,0,Z,1
36,37,0,0,1,0,1,X,0
37,38,1,1,1,1,1,Y,1
38,39,0,0,1,0,1,X,0
39,40,0,0,1,0,1,X,0
40,41,0,1,1,1,1,Y,0
41,42,0,1,1,1,1,Y,0
42,43,0,0,0,0,0,Z,0
43,44,1,1,0,0,0,Z,1
44,45,1,1,0,0,0,Z,0
45,46,1,1,1,1,1,Y,0
46,47,0,0,0,0,0,Z,0
47,48,1,1,1,1,1,Y,0
48,49,1,1,1,1,1,Y,0
49,50,1,1,0,0,0,Z,0
50,51,1,1,1,1,1,Y,0
51,52,1,1,0,0,0,Z,1
52,53,1,0,0,0,0,Z,1
53,54,1,1,0,0,0,Z,1
54,55,0,1,0,0,0,Z,1
55,56,1,0,1,0,1,X,1
56,57,1,1,0,0,0,Z,0
57,58,1,1,1,1,1,Y,1
58,59,0,0,1,0,1,X,0
59,60,1,0,0,0,0,Z,1
60,61,1,1,1,1,1,Y,0
61,62,0,1,0,0,0,Z,1
62,63,0,0,0,0,0,Z,1
63,64,1,1,1,1,1,Y,1
64,65,0,0,0,0,0,Z,1
65,66,1,1,0,0,0,Z,1
66,67,0,0,1,0,1,X,0
67,68,1,1,1,1,1,Y,0
68,69,0,0,0,0,0,Z,0
69,70,0,1,0,0,0,Z,0
70,71,1,1,0,0,0,Z,1
71,72,0,1,1,1,1,Y,0
72,73,1,0,0,0,0,Z,0
73,74,0,0,0,0,0,Z,0
74,75,1,1,0,0,0,Z,1
75,76,1,1,0,0,0,Z,0
76,77,1,1,0,0,0,Z,1
77,78,0,0,0,0,0,Z,1
78,79,0,1,0,0,0,Z,1
79,80,0,0,1,0,1,X,0
80,81,0,0,1,0,1,X,0
81,82,1,0,1,0,1,X,1
82,83,1,1,1,1,1,Y,1
83,84,1,1,1,1,1,Y,0
84,85,1,0,1,0,1,X,1
85,86,0,1,1,1,1,Y,1
86,87,1,0,1,0,1,X,1
87,88,0,1,1,1,1,Y,0
88,89,0,0,1,0,1,X,0
89,90,1,0,0,0,0,Z,1
90,91,1,0,0,0,0,Z,1
91,92,0,1,0,0,0,Z,0
92,93,1,0,1,0,1,X,1
93,94,1,1,0,0,0,Z,1
94,95,1,0,1,0,1,X,1
95,96,1,0,1,0,1,X,1
96,97,1,0,0,0,0,Z,1
97,98,0,1,1,1,1,Y,1
98,99,0,1,1,1,1,Y,0
99,100,1,0,0,0,0,Z,1
